,Question,Answer,explanationifFalse,AnswerShort
0,"Het historisme geloofde bij de aanvang van de 20e eeuw in de mogelijkheid voor de historicus om alle waardeoordelen achterwege te laten en aldus te komen tot een volmaakte apolitieke en a-ideologische wetenschapsbeoefening.
","[ p. 318 ]
","In de meeste Europese landen werd de apolitieke en a-ideologische geschiedbeoefening van het historisme beschouwd als neutraal en objectief. In feite ging het uit van de superioriteit van het bestaande politieke systeem en de sociale organisatie. In Frankrijk en Duitsland heeft dit ‘neutrale’ historisme de beide nationale staten permanent verheerlijkt. Het was dus toch niet zo neutraal en objectief.
",f
1,"De notie ‘spektakelstaat’ (Geertz, Titone, Arnade) is een typisch voorbeeld van hoe antropologen het handelen van personen verklaren met behulp van structuren en concepten die deze personen zelf nooit bedachten.
","[ p. 207 ]
","Geertz, die onderzoek deed naar ‘spektakelstaat’, reageerde fel tegen de methode van vele antropologen om het handelen van de bestudeerde individuen of groepen te verklaren door te refereren naar structuren en concepten, die deze personen nooit zelf bedachten om hun handelen te verklaren
",f
2,"Een der grondleggers van het tijdschrift de ‘Annales’, Marc Bloch, is verantwoordelijk voor het op grote schaal aanwenden van kwantitatieve methodes, zoals hij in ‘la société féodale’ (1933-40) demonstreert.
","[ p. 209 ]
","In zijn werk ‘La Société féodale’ ging Bloch op zoek naar sociale structuren in de Middeleeuwen, zoals de feodale, in hun groei en ondergang. Na W.O. II werd, in de zogenaamde tweede fase van de Annales, de invloed van het kwantitatieve dominant. 
",f
3,"Henri Pirenne nam van Max Weber het werken met ideaaltypen over, zo poneerde hij de stelling dat er steeds kapitalisten waren, en dat burgerlijke elites een stereotiep gedragspatroon vertonen: elke generatie kapitalisten komt voort uit de voorafgaande groep.
","[ p. 199 ]
","In zijn studie van een aantal individuele kooplieden-ondernemers in de Late Middeleeuwen heeft Henri Pirenne gesteund op de typologie van de ‘ideaaltypen’ van Max Weber.  Door deze generalisatie kwamen ze tot het model van de kapitalisten als sociale groep, en tot de these dat de kapitalisten van een bepaalde generatie niet onmiddellijk voortkomen uit de voorafgaande groep kapitalisten.
",f
4,"Niet-gedateerde geschreven bronnen kunnen door analyse van de schriftkenmerken of van de schrijfstof precies gedateerd worden, bijvoorbeeld aan de hand van watermerken in het papier.
","[ p. 78-79 ]
","Een functie van de paleografie is het dateren en lokaliseren van ongedateerde teksten door deze te vergelijken met gedateerde schriftstukken. Daartoe was het nodig een databank aan te leggen van morfologische en schrijftechnische elementen die kenmerkend zijn voor elk van de decennia van de schriftevolutie. In werkelijkheid is dit dateren altijd benaderend, op 20 à 40 jaar nauwkeurig, omdat de scribent het in zijn jeugd aangeleerde schrifttype doorgaans onveranderd hanteert gedurende zijn hele actieve leven.
",f
5,"Een essentiële doorbraak in de uitgavetechniek werd geboekt door de Bollandist dom Jean Mabillon (De re diplomatica, 1681).
","[ p. 56 ]
","In Parijs realiseerde de benedictijn Dom Jean Mabillon een essentiële doorbraak in de kritische uitgaventechniek, door aandacht te eisen voor de diplomatische en paleografische kenmerken van de bron en door de superioriteit van de originele versie voorop te stellen.
",f
6,"Hoe dichter bij de eigen tijd waarin de historicus leeft, hoe meer bronnen voorhanden zijn, hoe groter de kennis van de periode in kwestie.
","[ p. 48 ]
","De kennis van de eigen tijd of van het zeer recente verleden is, ondanks de aanwezigheid van een ongewoon groot aantal bronnen, vrij gering door de niet-consulteerbaarheid van die bronnen. Dit stelt de historicus voor de paradox dat de feitenkennis het geringst is wanneer de controlemogelijkheid het grootst zou kunnen zijn en dat die kennis groeit wanneer de ooggetuigen zelfs verdwenen zijn en de historicus niet langer via een interview de getuigenis kritisch kan toetsen.
",f
7,"Han Van Meegeren werd veroordeeld omdat hij een pseudo-Vermeer (de zogezegde ‘Emmaüsgangers’) heeft geschilderd.
","[ p. 72 ]
","Het produceren door Han Van Meegeren van een reeks pseudo-Vermeers was op zich geen strafbare handeling, wel het verkopen ervan als een echte Vermeer.
",f
8,"De impact van de boekdrukkunst in de renaissance van de 15e-16e eeuw was volgens Elizabeth Eisenstein (1979) fundamenteel, maar bleef beperkt tot het terrein van de reformatie en contrareformatie.
","[ p. 180 ]
","Met de komst van de boekdrukkunst leerden nu miljoenen gewone mensen lezen, en dat bevorderde hun emancipatie. Terecht beschouwde Elizabeth Eisenstein dan ook in ‘The printing press as an agent of change’ deze evolutie als fundamenteel voor de opbloei van de renaissance in de 15e en 16e eeuw.
",f
9,"E. Le Roy Ladurie wees op de factor ecologie als verklaring van de geschiedenis: de mens greep reeds vanaf het Ancien Régime in steeds toenemende mate in en verbrak het evenwicht tussen bevolking en landbouwproductie.
","[ p. 175 ]
","Vooral in het Ancien Régime was de mens volgens Emmanuel Le Roy Ladurie in hoge mate de gevangene van het demografisch en biologisch ecosysteem, een tweederangs acteur in een schouwspel waarin hij de speelbal was van evenwichten die nauwelijks te beïnvloeden waren, namelijk de verhouding tussen bevolking en landbouwproductie. 
",f
10,"De invloed van Marx is na WO II beperkt gebleven tot verstarde geschiedschrijving in de Oostbloklanden, in de westerse historiografie ontbreekt zijn invloed volledig.
","[ p. 189 ]
","Na WO II heeft zich in de Oostbloklanden gedurende vele jaren een verstarde doctrinaire versie van de marxistische geschiedschrijving gehandhaafd. In West-Europa hebben verschillende historici er boeiende variaties uit gedistilleerd. Ook de tweede Annales-school rond Fernand Braudel is sterk beïnvloed door het marxisme zoals dit in het Westen door verschillende filosofen verder is uitgewerkt.
",f
11,"Mondelinge overlevering staat niet gelijk aan willekeur en sociale anarchie, maar kan een complex sociaal-politiek verkeer impliceren, dit in tegenstelling tot het onderzoek van Jan Vansina over de Afrikaanse samenleving. Volgens hem beantwoorden de codes van een ‘primitieve’ samenleving aan een statisch wereldbeeld, een vorm van ‘histoire immobile’ dus.
","[ p. 23-24 ]
","Mondelinge communicatie betekent allerminst willekeur en anarchie, ze kan integendeel een complex sociaal-politiek verkeer impliceren. Onderzoek van Vansina over de Afrikaanse samenleving  toont structuren en processen die ook aanwezig zijn in de ongeschreven of geschreven bronnen van het verleden, en worden door Vansina gesitueerd als onderdelen van de socio-culturele code van een bepaald volk. Primitieve volkeren zijn niet statisch gebleven door de eeuwen heen. Zelfs vóór de kolonisatie kenden ze vaak al stormachtige evoluties. Het zou bijgevolg naïef zijn hun socio-culturele codes als ‘eeuwig’ te beschouwen.
",f
12,"Het gebruik van anachronistische begrippen (proletariaat en patriciaat wanneer het over sociale verhoudingen in de 13e eeuw gaat bijvoorbeeld) is niet te vermijden, omdat de geschiedenis telkens nieuwe vragen stelt aan het zelfde verleden.
","[ p. 185-186 ]
","De valkuil van het anachronisme is de meest evidente, hoe moeilijk ze ook te vermijden is. Elke tijd stelt immers weer nieuwe vragen aan het ene zelfde verleden, met als resultaat telkens een nieuw beeld. Daarbij maakt men fataal gebruik van anachronistische termen en begrippen die de tijdgenoot niet kende of gebruikte, zoals ‘proletariaat’ of ‘patriciaat’ in de 13e eeuw.
",f
13,"Observatie van een feit is noch empirisch, noch logisch een voldoende reden voor registratie van dit feit.
","[] 
","Elke observatie van een onderzoeker is weliswaar theorie-geladen, maar kan steeds onderworpen worden aan empirische controles (Bhaskar). Observatie is voldoende voor registratie van een feit.
",f
14,"Fictie (romans, film, theater) is een geschikte invalshoek voor de studie van mentale en sociale mutaties in de samenleving. Ze biedt een directe spiegel van de opvattingen van de groepen die haar ‘consumeren’.
"," []
","Fictie biedt een indirecte spiegel van de maatschappij.
",f
15,"Charles Tilly onderscheidt in zijn opvattingen over hoe de staatsvorming is tot stand gekomen in West-Europa een ‘capital intensive path’ en een ‘coercion intensive path’, Frankrijk is een voorbeeld van de eerste ontwikkeling, de oude Nederlanden van de tweede.
","[ p. 183 ]
","Charles Tilly onderscheidt een ‘capital intensive path’ en een ‘coercion intensive path’ naar staatsvorming: in het eerste is de concentratie van kapitaal, via de fiscaliteit, doorslaggevend, hoewel in het tweede dit de pure dwangmiddelen zijn. De Nederlanden zijn een voorbeeld van het eerste scenario en Frankrijk van het tweede.
",f
16,"De in 1909 ontdekte Kist van Oxford is een variant van de pseudo-kopie, uitgevoerd met gerecupereerde materialen. Het gaat om een in de 19e eeuw op planken uit de 14e eeuw gesculpteerde voorstelling van de slag bij Kortrijk (1302).
","[]
","Het gaat om een authentieke middeleeuwse kist.
",f
17,"Een levend archief is een archief dat de bezitter (vorst, handelaar) volgt van verblijf naar verblijf, van zodra hij/zij overlijdt wordt het een dood of historisch archief.
","[ p. 50 ]
","Zolang een archief stelselmatig en continu aangroeit met nieuwe documenten omdat de eigenaar actief is of de instelling werkzaam is, spreekt men van levend archief. Het deel of het geheel van documenten van een persoon of instelling dat als een afgesloten groep uit de levende firma of instelling wordt verwijderd, hetzij omdat het als nutteloos geworden materiaal afgestaan wordt aan een openbare archiefinstelling, hetzij omdat de firma of de instelling ophoudt te bestaan, noemt men oud of historisch archief.  In dit laatste geval heeft het zijn ambtelijke en juridische betekenis verloren.
",f
18,"Inzake ‘oorzaken van dynamiek’ verdedigt A. Giddens een geheel van opvattingen waarin de positie die individuen binnen een bepaalde structuur, determinerend wordt voor hun schema’s van handelen, deze worden geïnterioriseerd en vormen een ‘habitus’.
","[ p. 280 ]
","De Franse socioloog Pierre Bourdieu verwierf grote bekendheid met zijn studie van de rol van het onderwijssysteem in het consolideren en reproduceren van sociale verhoudingen. Een centrale notie in het oeuvre van Bourdieu is het begrip ‘habitus’: door hun opvoeding doen mensen schema’s op, ingesteldheden die hen toelaten op verschillende situaties te reageren en dit te doen binnen maatschappelijk aanvaarde gedragspatronen. Naarmate deze schema’s van waarnemen en handelen geïnterioriseerd worden, spreekt men van een habitus.
",f
19,"In zijn theorie over het decoderen van iconogafische bronnen stelt E. Panofsky (1939) drie fazen voor: 1) het herkennen van de realistische gegevens, 2) het identificeren van de schilder of auteur van een kunstwerk, 3) het zoeken naar de intrinsieke betekenis of boodschap.
","[ p. 230 ]
","De semiotiek staat uiteraard centraal bij het decoderen van iconografische bronnen. Erwin Panofsky stelde in ‘Studies in Iconology’ een methode voor met drie componenten: 1) het herkennen van de realistische gegevens, 2) het identificeren van de uitgebeelde personen, 3) het zoeken naar de intrinsieke betekenis of boodschap.
",f
20,"In het zogenaamde transitiedebat (R. Brenner), waarin demografische argumenten een grote rol spelen, vertolken de historische M. Postan en H. Van Der Wee neomalthusiaanse denkbeelden, waarin de vrouwelijke fertiliteit centraal staat.
","[ p. 217 ]
","In het zogenaamde transitiedebat betreffende het marxistisch thema van de overgang van feodale naar kapitalistische samenleving stelde Robert Brenner dat de sleutel voor het probleem ligt in de structuur van de klassenverhoudingen […] Andere, neomalthusiaanse critici van Brenner, zoals Postan en van der Wee, zagen de demografie wel degelijk als prime mover.
",f
